"Ease_in_public", "Opening_up_to_others", "Diplomacy", "Persuasion", "Leading", "Taking_responsibility", "Organization", "Vision", "Self_confidence", "Independent_mind", "Creativity", "Autonomy", "Stress_management", "Responsiveness", "Patience", "Respect_for_authority", "Determination", "Ambition", "Work_ethic", "Competitive_spirit", "Social_recognition", "Pay", "Security", "Private_professional_life", "Philantropy", "Need_to_belong", "Need_for_relations", "Need_for_variety"
10.0,6.604,5.1331,5.9715,6.0373,6.6747,6.8135,4.6541,4.2943,3.0569,5.0102,6.0513,7.6017,6.5632,2.3776,4.0309,5.104,5.695,4.889,3.1475,1.0,5.1162,6.415,4.7689,6.1984,7.8052,7.7437,4.2515
6.1225,3.5953,6.3017,4.9435,6.09,4.6733,5.1743,4.9143,7.1964,5.4095,6.744,5.3763,9.3576,7.6712,5.4129,2.0612,4.9101,5.1604,6.0955,3.0715,3.4928,4.1898,6.5944,4.8814,4.9342,8.8647,6.5001,5.6528
10.0,7.5149,4.0787,2.0657,6.9749,7.7785,3.1161,3.5009,6.2021,5.3353,4.1833,1.8285,7.6017,6.5632,3.4042,6.7565,4.0068,6.8078,5.9349,5.9628,4.7491,6.1455,5.183,8.8024,6.1984,6.2894,5.1971,1.8217
5.2616,7.5149,5.1331,4.995,4.162,4.467,2.1918,8.1137,8.11,5.3353,7.4906,8.1627,7.6017,4.3217,3.4042,4.0309,4.0068,7.9207,2.7973,5.0243,7.0957,5.1162,2.719,6.1134,3.6988,3.2579,6.4704,9.1111
8.2172,2.9606,3.0243,5.9715,8.8502,5.5709,4.9648,8.1137,5.2482,6.4745,4.1833,2.8842,2.4401,3.201,5.4573,7.665,8.3954,3.4694,8.0267,5.0243,3.5759,8.2041,3.951,4.7689,3.6988,4.7736,9.017,5.4664
2.2222,6.3198,8.4624,3.9811,6.09,9.0893,7.9386,3.7392,2.5242,0.8799,4.2772,4.3124,7.3856,2.1089,7.4554,10.0,6.018,7.424,5.0704,3.9883,8.0571,1.0,6.5944,6.2516,3.7361,5.83,9.0325,3.2317
7.232,3.8714,3.0243,10.0,9.7878,4.467,2.1918,5.8073,3.3404,7.6137,7.4906,2.8842,1.4078,7.684,4.4307,2.2139,8.3954,5.695,5.9349,5.9628,7.0957,4.0869,5.183,3.4244,2.449,7.8052,6.4704,7.8962
5.1474,8.136,4.141,3.9811,7.9605,7.9853,5.1743,2.564,4.3931,4.2771,7.5663,2.1846,4.4276,6.5588,2.3491,6.6526,8.2339,6.2922,7.1207,3.9883,10.0,6.1846,5.3264,3.5113,3.7361,1.0,9.0325,3.2317
3.1973,3.5953,6.3017,3.0186,9.8309,6.8813,7.9386,4.9143,8.1308,4.2771,5.0994,8.568,6.3996,3.2213,4.3916,2.9795,3.8022,7.424,5.0704,4.905,6.916,5.1872,9.1304,3.5113,4.9342,4.3126,5.2339,4.4423
6.1225,7.2279,9.5428,3.9811,5.1548,3.5693,2.41,3.7392,7.1964,7.6743,8.3886,3.2485,7.3856,5.4463,9.4978,3.8978,3.8022,5.1604,4.0452,2.1547,4.6338,5.1872,1.5223,7.6216,7.3304,5.83,3.9677,8.0739
4.2764,5.6932,5.1331,2.0657,2.2867,7.7785,2.1918,8.1137,6.2021,5.3353,2.5297,3.9399,9.6663,6.5632,7.5104,7.665,7.2983,7.9207,4.889,5.0243,4.7491,5.1162,7.6469,6.1134,1.0,9.321,5.1971,5.4664
9.0478,7.2279,5.2214,3.9811,7.9605,6.8813,7.0172,4.9143,5.3275,2.0123,3.4549,2.1846,6.3996,3.2213,5.4129,9.4074,7.126,4.0287,5.0704,3.0715,3.4928,4.1898,7.8624,4.8814,4.9342,7.3474,9.0325,3.2317
5.1474,6.3198,5.2214,6.8684,4.2196,4.6733,5.1743,7.2647,4.3931,5.4095,8.3886,2.1846,8.3716,4.3338,5.4129,4.816,4.9101,6.2922,1.9949,7.6554,4.6338,4.1898,5.3264,7.6216,4.9342,4.3126,7.7664,5.6528
8.0727,6.3198,4.141,4.9435,6.09,3.5693,4.2529,8.4399,5.3275,3.1447,5.9217,3.2485,7.3856,3.2213,3.3704,7.5709,4.9101,9.6875,6.0955,3.9883,6.916,1.0,5.3264,2.1411,8.5283,5.83,5.2339,8.0739
4.2764,5.6932,7.2419,3.0422,3.2244,5.5709,7.7379,4.6541,5.2482,3.0569,2.5297,7.107,2.4401,8.8048,7.5104,8.5736,6.2011,7.9207,4.889,5.0243,5.9224,1.0,5.183,6.1134,3.6988,6.2894,6.4704,9.1111
8.2172,7.5149,6.1875,4.995,6.0373,5.5709,4.9648,4.6541,5.2482,4.1961,5.0102,4.9956,3.4724,6.5632,4.4307,6.7565,1.8125,7.9207,4.889,5.9628,4.7491,6.1455,1.4871,4.7689,6.1984,6.2894,6.4704,7.8962
6.2468,6.604,7.2419,6.9479,3.2244,7.7785,4.0405,4.6541,3.3404,3.0569,6.6638,4.9956,8.634,6.5632,8.537,6.7565,2.9097,2.3566,6.9808,2.209,5.9224,4.0869,5.183,8.8024,7.4482,4.7736,1.0,6.6813
6.0383,5.4164,7.6396,5.5193,5.1081,4.9177,8.2416,2.5736,6.2705,1.0,7.5161,4.3281,8.4552,3.169,8.5662,4.9297,2.5283,3.8047,9.4011,3.7354,4.6231,5.0735,6.8213,3.5671,6.1948,7.1623,10.0,1.0
1.3253,2.3663,5.1368,5.983,8.6121,5.3758,3.7576,5.6124,4.2547,5.0472,2.6645,2.4074,7.8965,6.5006,6.5781,5.8888,8.4852,8.8275,6.8766,8.1802,6.207,5.4647,6.1732,8.9086,3.4332,5.0628,5.0384,3.8866
7.232,4.7823,5.1331,6.9479,3.2244,3.3632,6.8135,2.3477,7.1561,5.3353,6.6638,2.8842,4.5047,6.5632,8.537,4.9395,4.0068,6.8078,4.889,6.9012,4.7491,3.0576,7.6469,4.7689,3.6988,7.8052,6.4704,6.6813
4.2764,5.6932,0.9155,4.0186,6.0373,6.6747,5.8892,9.2669,7.1561,5.3353,5.837,2.8842,4.5047,3.201,6.4839,4.9395,6.2011,9.0335,3.8431,7.8397,8.2689,7.1748,6.415,3.4244,3.6988,3.2579,7.7437,3.0365
7.0062,3.6452,3.296,3.6005,7.8687,4.9177,2.6197,6.1282,8.1385,4.1823,8.3506,8.5804,6.4901,3.169,4.531,5.8608,5.8793,3.8047,6.3401,4.6479,8.0436,7.0432,8.1293,6.3439,2.61,4.0255,1.0,5.7009
6.2468,5.6932,5.1331,5.9715,6.0373,5.5709,3.1161,6.9605,5.2482,5.3353,8.3174,1.8285,10.0,5.4425,5.4573,4.9395,5.104,3.4694,5.9349,3.1475,5.9224,3.0576,1.4871,4.7689,9.9478,6.2894,5.1971,7.8962
7.2306,6.8754,5.1368,7.9676,8.6121,0.963,2.8436,6.7392,4.2547,6.1984,7.5471,4.5306,4.6751,0.8775,5.5361,8.5864,5.1919,5.3467,3.6937,5.2492,3.7178,5.4647,3.7412,6.1968,5.9406,6.5774,6.3303,6.3556
4.1724,7.2279,10.0,4.9435,2.3492,7.9853,7.0172,6.0895,4.3931,5.4095,3.4549,4.3124,3.4417,2.1089,6.4341,6.6526,7.126,2.8969,9.171,4.905,3.4928,5.1872,9.1304,2.1411,6.1323,5.83,9.0325,3.2317
2.306,9.3366,6.1875,4.0186,7.9125,8.8824,4.9648,4.6541,5.2482,4.1961,7.4906,0.7728,7.6017,4.3217,10.0,9.4821,2.9097,2.3566,3.8431,1.0,1.0,4.0869,3.951,7.4579,8.698,4.7736,6.4704,6.6813
6.2468,4.7823,6.1875,2.0657,6.9749,7.7785,7.7379,3.5009,6.2021,4.1961,5.837,2.8842,4.5047,5.4425,5.4573,4.9395,6.2011,1.0,8.0267,8.7781,4.7491,7.1748,8.8788,6.1134,4.9486,1.0,3.9237,5.4664
4.2764,4.7823,1.9699,5.9715,4.162,7.7785,8.6622,8.1137,5.2482,6.4745,3.3565,7.107,4.5047,3.201,6.4839,4.0309,7.2983,4.5822,8.0267,5.0243,3.5759,1.0,8.8788,2.0798,7.4482,7.8052,9.017,4.2515
7.232,8.4257,6.1875,3.0422,3.2244,4.467,4.0405,4.6541,5.2482,1.9176,6.6638,6.0513,5.537,4.3217,7.5104,8.5736,4.0068,6.8078,8.0267,3.1475,3.5759,4.0869,6.415,6.1134,4.9486,4.7736,5.1971,9.1111
9.0478,5.4116,6.3017,2.0562,2.3492,6.8813,5.1743,3.7392,2.5242,6.5419,4.2772,7.5041,7.3856,4.3338,6.4341,7.5709,7.126,5.1604,6.0955,4.905,4.6338,5.1872,7.8624,4.8814,6.1323,5.83,5.2339,4.4423
7.0976,6.3198,5.2214,3.9811,4.2196,4.6733,5.1743,4.9143,5.3275,6.5419,6.744,6.4402,5.4136,4.3338,8.4766,6.6526,3.8022,4.0287,5.0704,4.905,4.6338,6.1846,6.5944,6.2516,7.3304,2.7954,7.7664,2.0212
4.2764,4.7823,6.1875,1.0,4.162,7.7785,6.8135,4.6541,5.2482,5.3353,4.1833,9.2184,8.634,4.3217,6.4839,7.665,4.0068,7.9207,4.889,3.1475,5.9224,6.1455,7.6469,7.4579,4.9486,3.2579,5.1971,3.0365
7.0976,2.6872,5.2214,3.9811,5.1548,5.7773,7.9386,4.9143,6.2619,6.5419,5.0994,8.568,5.4136,5.4463,1.3279,5.7343,7.126,5.1604,8.1458,3.0715,6.916,4.1898,7.8624,4.8814,4.9342,5.83,2.7016,6.8634
5.0703,7.1875,9.8114,7.4381,4.1879,4.9177,3.5567,6.1282,4.4025,1.968,5.0128,5.3912,4.525,7.6148,8.5662,3.9986,3.6453,8.3968,4.2994,4.6479,5.7633,4.0886,5.5132,4.9555,6.1948,4.0255,6.4673,6.9211
4.2764,7.5149,5.1331,4.995,3.2244,6.6747,4.9648,3.5009,7.1561,1.9176,9.1443,2.8842,5.537,3.201,6.4839,4.9395,8.3954,5.695,3.8431,8.7781,5.9224,4.0869,8.8788,4.7689,3.6988,1.0,7.7437,6.6813
8.2172,9.3366,6.1875,4.0186,4.162,6.6747,3.1161,8.1137,5.2482,0.7784,6.6638,1.8285,7.6017,4.3217,7.5104,8.5736,5.104,6.8078,1.7514,3.1475,3.5759,5.1162,5.183,6.1134,3.6988,7.8052,10.0,3.0365
7.232,5.6932,6.1875,4.995,4.162,8.8824,4.0405,4.6541,4.2943,3.0569,3.3565,4.9956,6.5693,4.3217,7.5104,6.7565,5.104,5.695,5.9349,6.9012,7.0957,5.1162,7.6469,6.1134,6.1984,4.7736,2.6505,4.2515
1.0,1.4645,3.0884,8.9599,4.917,4.2726,5.5857,8.9929,3.2895,5.0472,6.7333,7.7154,7.8965,7.6252,5.5361,5.8888,5.1919,5.3467,5.8156,7.2032,6.207,4.425,7.3892,7.5527,5.9406,5.0628,1.0,6.3556
6.2468,2.9606,5.1331,6.9479,8.8502,7.7785,6.8135,1.1945,5.2482,3.0569,4.1833,2.8842,7.6017,7.684,6.4839,5.848,4.0068,4.5822,6.9808,5.0243,7.0957,1.0,6.415,4.7689,4.9486,9.321,9.017,1.8217
6.1225,4.5035,4.141,4.9435,6.09,2.4653,5.1743,4.9143,6.2619,4.2771,5.9217,4.3124,7.3856,6.5588,8.4766,2.0612,6.018,4.0287,8.1458,7.6554,5.7749,5.1872,4.0583,6.2516,4.9342,7.3474,7.7664,3.2317
6.1225,3.5953,0.9,6.8684,10.0,4.6733,4.2529,9.615,8.1308,7.6743,5.0994,4.3124,4.4276,7.6712,3.3704,3.8978,6.018,6.2922,1.9949,4.905,8.0571,6.1846,4.0583,6.2516,2.5381,5.83,6.5001,4.4423
7.9741,1.0,3.296,6.4787,6.9485,3.7988,5.4307,4.9433,8.1385,8.6107,5.0128,7.5173,4.525,5.3919,4.531,1.0,8.1132,3.8047,8.3808,6.4729,9.1838,4.0886,5.5132,7.7322,3.8049,5.5939,2.7391,5.7009
8.2172,7.5149,8.2963,7.9243,3.2244,3.3632,4.0405,8.1137,2.3864,1.9176,6.6638,6.0513,2.4401,5.4425,6.4839,4.9395,1.8125,6.8078,6.9808,6.9012,4.7491,8.2041,6.415,2.0798,6.1984,1.0,5.1971,7.8962
7.0976,2.6872,6.3017,4.9435,3.2844,5.7773,4.2529,6.0895,5.3275,8.8067,5.9217,7.5041,8.3716,5.4463,5.4129,3.8978,4.9101,6.2922,3.0201,5.8218,4.6338,6.1846,5.3264,3.5113,3.7361,5.83,5.2339,9.2845
4.1724,6.3198,4.141,4.9435,5.1548,6.8813,8.86,2.564,2.5242,6.5419,5.0994,4.3124,7.3856,4.3338,6.4341,7.5709,6.018,6.2922,8.1458,2.1547,6.916,5.1872,7.8624,4.8814,6.1323,8.8647,2.7016,2.0212
4.1724,4.5035,6.3017,5.906,6.09,7.9853,7.0172,4.9143,4.3931,5.4095,1.8103,5.3763,6.3996,8.7837,4.3916,6.6526,3.8022,5.1604,9.171,3.0715,8.0571,1.0,5.3264,6.2516,3.7361,5.83,7.7664,5.6528
5.1474,3.5953,5.2214,7.8309,6.09,3.5693,2.41,7.2647,9.0652,4.2771,8.3886,3.2485,6.3996,4.3338,7.4554,4.816,7.126,5.1604,0.9698,6.7386,6.916,5.1872,6.5944,4.8814,2.5381,5.83,7.7664,4.4423
1.0,4.7823,4.0787,4.995,3.2244,6.6747,6.8135,5.8073,3.3404,3.0569,7.4906,6.0513,6.5693,5.4425,8.537,8.5736,2.9097,7.9207,5.9349,6.9012,10.0,7.1748,6.415,6.1134,2.449,6.2894,2.6505,1.8217
6.2468,4.7823,5.1331,6.9479,4.162,4.467,8.6622,5.8073,5.2482,5.3353,5.0102,2.8842,4.5047,3.201,7.5104,6.7565,8.3954,6.8078,3.8431,4.0859,5.9224,1.0,6.415,2.0798,7.4482,9.321,6.4704,5.4664
6.2468,5.6932,4.0787,6.9479,3.2244,2.2593,2.1918,5.8073,10.0,6.4745,7.4906,6.0513,6.5693,6.5632,5.4573,5.848,5.104,9.0335,1.7514,3.1475,5.9224,6.1455,1.4871,6.1134,8.698,6.2894,5.1971,4.2515
6.0383,3.6452,4.3819,4.5599,5.1081,2.68,6.3676,3.7584,7.2045,6.3965,8.3506,2.2019,7.4726,3.169,5.5398,4.9297,6.9962,4.9527,7.3604,7.3854,4.6231,7.0432,4.2051,4.9555,3.8049,4.0255,8.9527,5.7009
4.2764,6.604,8.2963,4.0186,4.162,2.2593,8.6622,1.0,7.1561,4.1961,5.837,7.107,8.634,7.684,7.5104,3.1224,5.104,3.4694,8.0267,3.1475,3.5759,1.0,6.415,4.7689,7.4482,7.8052,6.4704,6.6813
4.2764,5.6932,5.1331,6.9479,7.9125,4.467,4.0405,4.6541,4.2943,7.6137,5.0102,6.0513,3.4724,7.684,8.537,4.9395,4.0068,5.695,5.9349,4.0859,4.7491,1.0,5.183,4.7689,8.698,6.2894,7.7437,5.4664
4.1724,7.2279,6.3017,7.8309,7.0253,3.5693,7.0172,1.3888,3.4587,5.4095,6.744,4.3124,7.3856,4.3338,6.4341,5.7343,4.9101,2.8969,7.1207,4.905,1.0,4.1898,6.5944,8.9918,4.9342,7.3474,7.7664,3.2317
2.2222,4.5035,7.3821,3.9811,2.3492,5.7773,7.0172,4.9143,3.4587,3.1447,7.5663,7.5041,6.3996,4.3338,6.4341,8.4891,1.5863,10.0,5.0704,6.7386,6.916,5.1872,6.5944,6.2516,3.7361,4.3126,1.0,9.2845
5.1474,5.4116,7.3821,2.0562,4.2196,7.9853,7.0172,6.0895,2.5242,6.5419,5.0994,6.4402,3.4417,3.2213,6.4341,9.4074,4.9101,7.424,7.1207,3.0715,4.6338,7.182,7.8624,8.9918,4.9342,4.3126,1.0,4.4423
2.306,2.0497,4.0787,5.9715,6.0373,6.6747,4.0405,5.8073,4.2943,7.6137,6.6638,4.9956,2.4401,4.3217,6.4839,9.4821,8.3954,10.0,4.889,4.0859,8.2689,6.1455,7.6469,3.4244,3.6988,9.321,1.0,4.2515
7.0976,2.6872,6.3017,5.906,1.0,4.6733,1.0,6.0895,4.3931,6.5419,7.5663,6.4402,5.4136,5.4463,5.4129,4.816,7.126,6.2922,9.171,6.7386,4.6338,3.1925,9.1304,3.5113,3.7361,4.3126,7.7664,8.0739
6.1225,8.136,4.141,7.8309,7.9605,6.8813,4.2529,3.7392,4.3931,4.2771,5.0994,4.3124,7.3856,6.5588,3.3704,4.816,4.9101,4.0287,4.0452,6.7386,5.7749,8.1793,1.5223,4.8814,2.5381,4.3126,9.0325,6.8634
4.2764,2.9606,3.0243,6.9479,6.9749,6.6747,2.1918,5.8073,7.1561,6.4745,3.3565,6.0513,3.4724,3.201,6.4839,4.9395,7.2983,10.0,9.0725,5.0243,10.0,3.0576,5.183,0.7354,7.4482,6.2894,3.9237,6.6813
4.2764,3.8714,5.1331,4.995,7.9125,6.6747,6.8135,6.9605,3.3404,5.3353,8.3174,4.9956,4.5047,3.201,4.4307,4.9395,6.2011,6.8078,5.9349,5.0243,5.9224,6.1455,5.183,6.1134,3.6988,3.2579,6.4704,6.6813
6.1225,4.5035,4.141,3.9811,7.9605,7.9853,4.2529,4.9143,6.2619,3.1447,5.9217,6.4402,3.4417,5.4463,3.3704,6.6526,7.126,5.1604,7.1207,5.8218,6.916,7.182,5.3264,7.6216,3.7361,2.7954,5.2339,4.4423
6.2464,6.8754,9.2335,3.0062,3.0694,4.2726,1.0,6.7392,2.3244,3.896,7.5471,5.5922,5.7489,7.6252,6.5781,5.8888,6.2896,5.3467,7.9375,5.2492,6.207,4.425,4.9572,4.8409,5.9406,3.5483,6.3303,7.59
7.232,1.1388,0.9155,4.995,7.9125,5.5709,6.8135,4.6541,4.2943,7.6137,5.837,4.9956,6.5693,6.5632,1.351,4.0309,9.4926,4.5822,9.0725,6.9012,5.9224,7.1748,7.6469,2.0798,1.0,4.7736,7.7437,6.6813
6.2468,8.4257,4.0787,5.9715,4.162,5.5709,4.9648,4.6541,5.2482,4.1961,8.3174,2.8842,9.6663,6.5632,8.537,4.9395,1.8125,5.695,2.7973,4.0859,5.9224,3.0576,2.719,7.4579,4.9486,9.321,5.1971,6.6813
3.2912,8.4257,7.2419,6.9479,2.2867,5.5709,6.8135,6.9605,1.4325,6.4745,5.0102,3.9399,6.5693,4.3217,7.5104,8.5736,5.104,3.4694,4.889,5.0243,1.0,6.1455,6.415,4.7689,6.1984,6.2894,3.9237,7.8962
4.2764,4.7823,4.0787,7.9243,7.9125,4.467,5.8892,4.6541,5.2482,5.3353,3.3565,1.8285,2.4401,9.9255,5.4573,4.0309,6.2011,7.9207,6.9808,7.8397,5.9224,3.0576,1.4871,2.0798,8.698,7.8052,6.4704,9.1111
8.2172,7.5149,6.1875,4.0186,5.0996,4.467,6.8135,4.6541,2.3864,1.9176,6.6638,7.107,8.634,6.5632,6.4839,5.848,2.9097,3.4694,6.9808,3.1475,1.0,6.1455,6.415,7.4579,3.6988,3.2579,6.4704,7.8962
5.2616,5.6932,5.1331,7.9243,7.9125,2.2593,1.0,10.0,7.1561,6.4745,5.837,3.9399,8.634,4.3217,7.5104,3.1224,2.9097,7.9207,3.8431,2.209,7.0957,3.0576,3.951,4.7689,3.6988,4.7736,7.7437,9.1111
6.2468,9.3366,8.2963,4.0186,9.7878,4.467,4.0405,2.3477,4.2943,4.1961,8.3174,2.8842,2.4401,5.4425,8.537,4.0309,2.9097,4.5822,6.9808,5.0243,7.0957,7.1748,7.6469,4.7689,3.6988,4.7736,2.6505,5.4664
5.1474,5.4116,6.3017,4.9435,5.1548,5.7773,4.2529,4.9143,7.1964,3.1447,7.5663,2.1846,4.4276,7.6712,4.3916,3.8978,7.126,7.424,5.0704,7.6554,8.0571,5.1872,4.0583,3.5113,4.9342,7.3474,6.5001,4.4423
5.2616,3.8714,7.2419,8.9008,6.9749,4.467,5.8892,6.9605,5.2482,3.0569,4.1833,6.0513,6.5693,4.3217,1.351,7.665,2.9097,7.9207,4.889,5.9628,7.0957,9.2334,5.183,3.4244,2.449,3.2579,3.9237,7.8962
5.2616,4.7823,3.0243,7.9243,8.8502,5.5709,6.8135,5.8073,7.1561,6.4745,5.0102,9.2184,4.5047,4.3217,3.4042,1.0,6.2011,5.695,4.889,4.0859,5.9224,7.1748,2.719,6.1134,1.0,6.2894,5.1971,9.1111
9.0478,4.5035,1.9803,7.8309,10.0,3.5693,2.41,4.9143,9.9996,6.5419,6.744,1.1207,6.3996,6.5588,1.0,5.7343,4.9101,5.1604,3.0201,6.7386,9.1981,1.0,5.3264,4.8814,4.9342,5.83,3.9677,8.0739
4.2764,5.6932,5.1331,4.995,5.0996,8.8824,5.8892,5.8073,4.2943,4.1961,5.0102,3.9399,5.537,6.5632,7.5104,7.665,6.2011,3.4694,8.0267,2.209,5.9224,3.0576,6.415,6.1134,7.4482,4.7736,3.9237,6.6813
5.1474,3.5953,5.2214,5.906,6.09,4.6733,5.1743,6.0895,9.0652,4.2771,6.744,8.568,5.4136,6.5588,7.4554,3.8978,1.5863,5.1604,1.9949,6.7386,6.916,8.1793,2.7903,6.2516,4.9342,7.3474,5.2339,2.0212
3.1973,7.2279,8.4624,2.0562,3.2844,9.0893,3.3314,7.2647,2.5242,4.2771,6.744,9.6318,3.4417,5.4463,8.4766,7.5709,4.9101,5.1604,4.0452,4.905,6.916,4.1898,9.1304,3.5113,8.5283,4.3126,2.7016,4.4423
2.306,5.6932,5.1331,3.0422,5.0996,3.3632,3.1161,4.6541,4.2943,6.4745,8.3174,6.0513,4.5047,6.5632,7.5104,5.848,8.3954,9.0335,5.9349,5.0243,5.9224,8.2041,2.719,6.1134,2.449,6.2894,6.4704,5.4664
3.2912,3.8714,5.1331,4.995,6.0373,8.8824,4.9648,10.0,1.4325,5.3353,5.0102,7.107,5.537,2.0802,6.4839,6.7565,6.2011,9.0335,4.889,4.0859,9.4421,8.2041,6.415,4.7689,2.449,3.2579,6.4704,1.8217
7.232,6.604,1.9699,4.0186,7.9125,4.467,6.8135,4.6541,6.2021,3.0569,5.0102,1.8285,10.0,6.5632,4.4307,4.9395,6.2011,4.5822,5.9349,5.9628,8.2689,7.1748,5.183,6.1134,2.449,3.2579,6.4704,4.2515
6.1225,8.136,7.3821,3.9811,3.2844,5.7773,2.41,7.2647,4.3931,6.5419,8.3886,3.2485,2.4557,5.4463,8.4766,5.7343,6.018,5.1604,7.1207,3.0715,5.7749,1.0,4.0583,7.6216,7.3304,5.83,6.5001,5.6528
2.306,6.604,7.2419,4.995,6.0373,6.6747,6.8135,2.3477,3.3404,1.9176,5.0102,4.9956,5.537,8.8048,5.4573,6.7565,6.2011,3.4694,9.0725,5.9628,5.9224,1.0,5.183,2.0798,7.4482,7.8052,7.7437,6.6813
