id,title,category,description
B00KGA1PHQ,Motorola G 4G Smartphone debloque 4G (Ecran: 4.5 pouces - 8 Go - Android 4.4 KitKat - MicroSD) Blanc,telephone,"Booste par un processeur Quad Core A7 cadence a 1,2 GHz, le smartphone quadri-bande Moto G 4G de Motorola integre le systeme d'exploitation Android 4.4 KitKat. La 4G embarquee vous fait profiter d'une connectivite rapide ou que vous soyez. Ce telephone portable est egalement equipe du Bluetooth 4.0 et du WiFi.Le Motorola Moto G 4G dispose d'une camera frontale de 1,3 MP et d'une camera arriere de 5 MP (4:3). Ce mobile lit les images, la musique et la video. Il est en mesure d'enregistrer des videos en 720p aux formats MPEG4 et H.264. Le Moto G 4G offre 8 Go de memoire interne pour la sauvegarde des donnees. Il embarque aussi un GPS pour la navigation.Garantie Fabricant: 1 an(s) Android 4.4 KitKat Capacite : 8 Go (extensible par carte Micro SD) Compatibilite reseau : 4G Cable USB inclus, chargeur mural et casque non inclus"
B00M9ACL7E,Wiko Lenny Smartphone debloque 3G+ (Ecran : 5 pouces - 4 Go - Android 4.4 KitKat) Noir,telephone,"<b>Gamme</b> : Lenny<br><b>Marque du mobile</b> : Wiko<br><b>Reference du mobile</b> : Lenny<br><b>Design</b> : Tout tactile<br><b>Memoire interne</b> : 4 Go<br><b>Memoire vive RAM</b> : 512 Mo<br><b>OS (Systeme d'exploitation)</b> : Android 4.4 KitKat<br><b>Technologie</b> : GSM 850-900/1800-1900 MHz<br><b>Bandes</b> : Quadri-bande<br><b>Processeur</b> : Dual Core 1.3 GHz, Cortex-A7<br><b>Double sim</b> : Oui<br><b>Norme 3G (UMTS)</b> : Oui<br><b>Norme 3G+ (HSDPA)</b> : Oui<br><b>HSPA + (3G++ / H+ / Dual Carrier)</b> : Oui<br><b>Reseau 4G</b> : Non<br><b>GPRS</b> : Oui<br><b>Edge</b> : Oui<br><b>Outdoor</b> : Non<br><b>Indice DAS</b> : 0.799 (corps), 0.482 (tete)<br><b>Couleur</b> : NoirGarantie Fabricant: 2 an(s) 1,3 GHz  Dual Core Systeme d'exploitation : Android 4.4 KitKat Capacite : 4 Go Ecran : 5 pouces Double SIM"
B00NIGKW6A,Sony Xperia Z3 Compact Smartphone Debloque 4G (Ecran : 4.6 pouces - 16 Go - IP65 / IP68 - Android 4.4 KitKat) Noir,telephone,"Sony Xperia Z3 Compact Smartphone Debloque 4G Ecran 4,6 pouces 16 Go Android 4.4 KitKat coloris noir - Etanche IP65/IP68Caracteristiques techniques :  Ecran Full HD de 4,6"" resolution 7420 x 1280 Appareil photo 20.7 megapixels optique Carl Zeiss processeur Qualcomm Snapdragon 801 Quad-Core 2,5 GHz Systeme d'exploitation : Android 4.4 KitKat Capacite stockage de 16 Go, memoire vive 2 Go Lecteur Micro SD jusqu'a 128 Go Ecran : 4,6 pouces Format Nano-SIM Etanche jusqu'a 1,5 m ( norme IP65-IP68) Dimensions : 127.3 x 64.9 x 8,6 mm Poids : 129 g. Contenu du coffret de vente :Telephone Xperia Z Ultra (D2105°Chargeur secteur avec sortie USB1 manuel d'utilisateur en version FRANCE1 batterie Sony1 Cable Micro-USB vers USB1 kit pieton stereo Sony 0,55 W/kg. Le DAS (debit d'absorption specifique) des telephones mobiles quantifie le niveau d'exposition maximal de l'utilisateur aux ondes electromagnetiques, pour une utilisation a l'oreille. La reglementation francaise impose que le DAS ne depasse pas 2 W/kg. Processeur : Qualcomm 1,2 GHz Qualcomm Snapdragon Systeme d'exploitation : Android 4.4 KitKat Capacite : 2 Go Ecran : 4,6 pouces Simple SIM"
B00JQB3OJS,Samsung Galaxy Trend Lite Smartphone debloque 3G+ (Ecran : 4 pouces - 4 Go - Android 4.1 JellyBean) Noir,telephone,"Samsung Galaxy Trend Lite Midnight BlackGarantie Fabricant: 2 an(s) Ecran :4 pouces Capacite :4 GB 3G  Wifi, Ecran 4 pouces, Appareil Photo 3 MP"
B00JR88N3W,Sony Xperia Z2 Smartphone debloque 4G (Ecran: 5.2 pouces - 16 Go - Android 4.4 KitKat) Noir + Ecouteurs MDR-NC31EM a reduction de bruit active,telephone,"XPERIA Z2 Noir (Reconditionne) / Etat : Correct - Controle et Debloque / Garantie 6 mois / Livraison 24H dans Boite blanche avec Chargeur + Cable USB Neuf compatiblesDesign premium: verre mineral trempe, contour aluminium. Etanche IP58 Ecran 5,2 pouces Full HD 1920x1080 pixels TRILUMINOS Appareil photo 20,7 MP avec capture video 4K Processeur Qualcomm Snapdragon Quad-core 2,3 GHZ et 3GB RAM Systeme d'exploitation : Google Android 4.4 KitKat Compatibilite reseau : 4G"
B00RJML006,Samsung Galaxy Grand Prime Smartphone debloque 4G (Ecran : 5 pouces - 8 Go - Simple SIM - Android 4.4 KitKat) Blanc,telephone,"Avec une epaisseur de seulement 8.6 mm,le GALAXY Grand Prime allie sophistication et performances de premier ordre,tout en comprimant toutes les fonctionnalites essentielles de divertissement en deplacement dans un boitier moderne et epure. Cependant,svelte ne signifie pas obligatoirement petit:en effet,l'ecran de 5"" veille a ce que rien ne vienne denaturer votre style. Le GALAXY Grand Prime est equipe d'un puissant processeur quacricœur de 1.2 GHz offrant des performances multitaches rapides comme l'eclair,quel que soit le nombre de taches en cours.Processeur : Samsung Systeme d'exploitation : Android 4.4 KitKat Capacite : 8 Go Ecran : 5 pouces Simple SIM"
B00DJ338PE,Samsung Galaxy S4 mini Smartphone debloque 4G (Ecran: 4.3 pouces - 8 Go - Android 4.2.2 Jelly Bean) Noir,telephone,"Avantages : <ul><li>Android 4.2.2 Jelly Bean</li><li>Design compact</li><li>Ecran 4.3'' Super AMOLED ultra lumineux</li><li>Compatible avec la norme 4G/LTE</li><li>Double capteur photo</li><li>Traducteur integre S Translator</li><li>Telecommande infrarouge integree</li></ul><br/>Contenu de la boite : <ul><li>1 Samsung Galaxy S4 mini 8Go</li><li>1 Chargeur secteur</li></ul><br/>Ecran AMOLED 4,3 pouces 16,7 millions de couleurs Capteur photo 8 megapixels Autonomie 720 minutes en conversation Android, Memoire : 8Go Compatible 4G Compatibilite reseau : 4G"
B00NBZ7LVC,Motorola Moto G (2eme Generation) Smartphone debloque 3G+ (Ecran: 5 pouces - 8 Go - Android 4.4 KitKat) Blanc,telephone,"Booste par un processeur Quad Core cadence a 1,2 GHz, le smartphone quadribande Motorola Moto G de seconde generation integre le systeme d'exploitation Android 4.4 KitKat.La norme reseau HSPA+ embarquee vous fait profiter d'une connectivite ultrarapide ou que vous soyez. Ce telephone portable est egalement equipe du Bluetooth 4.0 et du WiFi.Le Motorola Moto G 2nd generation dispose d'une camera frontale de 2 MP et d'une camera arriere de 8 MP. Ce mobile lit les images, la musique et la video. Il est en mesure d'enregistrer des videos en 720p.Le Moto G offre 8 Go de memoire interne pour la sauvegarde des donnees. Il embarque aussi un GPS pour la navigation.Ecran 5 pouces HD Gorilla Glass 3 Double SIM Entree Carte SD Processeur : Quad Core 1.2GHz Qualcomm 8Go memoire interne"
B00MA5OWHU,Samsung Galaxy S5 Mini Smartphone debloque 4G (Ecran: 4.5 pouces - 16 Go - Android Kitkat 4.4) Noir,telephone,"Samsung Galaxy S5 Mini G800 BlackGarantie Fabricant: 2 an(s) Android 4.4 KitKat Ecran :4,5 pouces Capacite :16 GB Ecran 4,5 pouces"
B00IZCFZZA,Samsung Galaxy S5 Noir 4G Garantie Europeenne SM-G900FZKAITV,telephone,Ex Samsung G900F Galaxy S5 charcoal black (EU)SAMSUNG 362255
B00IRZ8EQC,Samsung Galaxy S4 mini Smartphone debloque 4G (Ecran: 4.3 pouces - 8 Go - Android 4.2.2 Jelly Bean) Blanc (Import Europe),telephone,"Avantages : <ul><li>Android 4.2.2 Jelly Bean</li><li>Design compact</li><li>Ecran 4.3'' Super AMOLED ultra lumineux</li><li>Compatible avec la norme 4G/LTE</li><li>Double capteur photo</li><li>Traducteur integre S Translator</li><li>Telecommande infrarouge integree</li></ul><br/>Contenu de la boite : <ul><li>1 Samsung Galaxy S4 mini 8Go</li><li>1 Chargeur secteur</li></ul><br/>Ecran AMOLED 4,3 pouces 16,7 millions de couleurs Capteur photo 8 megapixels Autonomie 720 minutes en conversation Android, Memoire : 8Go Compatible 4G Compatibilite reseau : 4G"
B00IUE37F8,"Samsung Galaxy Note 3 Neo Smartphone debloque 4G (Ecran : 5,5 pouces 16 Go Simple SIM Android) Noir",telephone,"Avec ses nombreuses innovations, le smartphone GALAXY Note 3 Lite SM-N7505ZKAXEF de Samsung vous accompagne au quotidien en vous ouvrant les portes d'un univers d'applications et de fonctions intelligentes.Dernier ne de la gamme des Galaxy Note, le telephone portable GALAXY Note 3 Lite affiche un design elegant et raffine qui met en valeur son ecran Super AMOLED de 5,5"". Avec sa resolution HD de 1 280 x 720 pixels, vous profitez d'un confort de navigation et de lecture inegale pour surfer sur Internet, jouer a un jeu video ou lire un document. Sa surface tactile vous permet par ailleurs de vivre confortablement l'experience enrichie du stylet S Pen (inclus).Booste par un processeur a 6 coeurs Exynos et organise autour du systeme d'exploitation Android 4.3 Jelly Bean, le GSM SM-N7505ZKAXEF vous offre un environnement propice au multitache, sans perte de temps ni de donnees. Ainsi, vous accedez non seulement rapidement a vos programmes, mais vous avez aussi la possibilite de personnaliseGarantie Fabricant: 2 an(s) Ecran :5.5 pouces Capacite :16 GB Processeur Dual core 1,7 ghz + Quadcore 1,3 Ghz Compatibilite reseau : 4G"
B00GSNTQ6W,Motorola Moto G Smartphone debloque 3G+ (Ecran : 4.5 pouces - 8 Go - Android 4.4 KitKat) Noir,telephone,"Telephone portable - Motorola Moto G 8 Go Noir - Smartphone 3G+ avec ecran tactile HD 4.5"" sous Android 4.3 - Fabricant : Motorola - Code EAN : 6947681516571 - Reference Fabricant : XT-I032Processeur : Quad Core Cortex-A7 - 1.2 GHz Systeme d'exploitation : Android 4.4 KitKat Capacite : 8 Go Ecran : 4.5 pouces SIM : Micro-SIM Garantie Constructeur : 1 an"
B00NBZ7FFO,Motorola Moto G (2eme Generation) Smartphone debloque 3G+ (Ecran: 5 pouces - 8 Go - Android 4.4 KitKat) Noir,telephone,"Motorola Moto-G version 2 coloris Noir.Motorola nous propose la version 2, encore plus vitaminee, de son smartphone a succes le MOTO-G ! Dimensions: 141.5 x 70.7 x 10.9 mm  Poids: 149 g  Ecran: 5"" HD  Resolution HD: 1280x720 pixels  Appareil photo: 8 MP  Flash: LED / Autofocus  Camera frontale: 2 MP  Systeme d'exploitation: Android KitKat 4.4  Processeur: Quad-Core 1.2 GHz  Batterie: 2070 mAh  Autonomie veille/appel: 414h / 24h  Memoire: 8 Go / RAM: 1 Go  Extension: Micro SD (32 Go max)  Reseaux: H+  ( 3G+) Wifi / AGPS  Bluetooth: 4.0  Connectivite: Micro USB et jack 3,5 mm Livre avec :   Telephone  Chargeur secteur micro USB  Notice  BatterieDAS de 0,687 W/kg. Le DAS (debit d'absorption specifique) des telephones mobiles quantifie le niveau d'exposition maximal de l'utilisateur aux ondes electromagnetiques, pour une utilisation a l'oreille. La reglementation francaise impose que le DAS ne depasse pas 2 W/kg.  Ecran 5 pouces HD Gorilla Glass 3 Double SIM Entree Carte SD Processeur : Quad Core 1.2GHz Qualcomm 8Go memoire interne"
B00OOPZLJ2,Honor 6 Smartphone debloque 4G Cat 6  (Ecran : 5 pouces Full HD - 16 Go - Simple SIM  - Android 4.4 KitKat) Blanc,telephone,"NoneUne technologie plus precise : Le grand ecran de 5 pouces haute definition vous permettra de voir les details sans avoir a zoomer. Faites egalement des photos de grande qualite grace aux 13 megapixels de la camera principale et a la camera frontale de 5 megapixels pour des selfies avantageux. Une technologie plus rapide : La 4G Cat 6  est six fois plus rapide que la 3G+ et 2 fois plus rapide que la 4G traditionelle, une vitesse de telechargement de 300 Mb/s. Ne ratez plus jamais de photo grace a l'ouverture de capteur de 0.6 seconde. Une technologie qui va plus loin: La duree de vie de la batterie de 3100mAh est prolongee de 30% grace a la technologie Smartpower2.0 ce qui vous permet jusqu'a 2 jours d'autonomie en utilisation normale. Garantie Fabricant: 2 ans. Prise en charge gratuite dans tous les Points Service Mobile. Systeme d'exploitation : Android 4.4 KitKat avec Emotion UI 2.3 Capacite : 16 Go et 3 Go de RAM Connectivite : 4G categorie 6 compatible avec tous les reseaux francais"
B00KG3I4RC,Samsung Galaxy Trend Lite Smartphone debloque 3G+ (Ecran : 4 pouces - 4 Go - Android 4.1 JellyBean) Blanc,telephone,"<b>Marque du mobile</b> : Samsung<br><b>Reference du mobile</b> : Galaxy Trend Lite<br><b>Design</b> : Tout tactile<br><b>Memoire interne</b> : 4 Go<br><b>Memoire vive RAM</b> : 512 Mo<br><b>OS (Systeme d'exploitation)</b> : Android 4.1 Jelly Bean<br><b>Technologie</b> : GSM 850-900/1800-1900 MHz<br><b>Bandes</b> : Quadri-bande<br><b>Processeur</b> : Qualcomm 1 GHz<br><b>Double sim</b> : Non<br><b>Norme 3G (UMTS)</b> : Oui<br><b>Norme 3G+ (HSDPA)</b> : Oui<br><b>Reseau 4G</b> : Non<br><b>GPRS</b> : Oui<br><b>Edge</b> : Oui<br><b>Outdoor</b> : Non<br><b>Indice DAS</b> : 0.268<br><b>Couleur</b> : Blanc<br><b>Taille ecran (pouces)</b> : 4Synchroniser le calendrier a partir de votre compte Gmail ou autre compte mail Vous pouvez choisir soit de l'enregistrer dans votre telephone (sans synchronisation), soit de le rattacher et le synchroniser avec votre compte mail (Gmail ou autre)"
B00RJMKQ5Q,Samsung Galaxy Core Prime Smartphone debloque 4G (Ecran : 4.5 pouces - 8 Go - Simple SIM - Android 4.4 KitKat) Argent,telephone,Samsung Galaxy Core Prime SilverProcesseur : Samsung Systeme d'exploitation : Android 4.4 KitKat Capacite : 8 Go Ecran : 4.5 pouces Simple SIM
B00K6B4SU6,Motorola Moto E Smartphone debloque 3G (Ecran: 4.3 pouces - 4 Go - Android 4.4 KitKat) Noir,telephone,"Motorola Moto-E 4 Go coloris Noir. Ecran 4,3 pouces, 540 x 960 pixels. Appareil photo 5 Megapixels Memoire interne 4 Go, 1 Go RAM Connexion 3G Quadri-Bande  Bluetooth, Wifi Poids 124 Gr Dimensions : 124,8 x64,8 x 12,3 Android 4.2.2 ( KitKat) Processeur Dual Core 1.2 Ghz Cortex A7 Lecteur carte memoire micro SD jusqu'a 32 GoLivre avec :micro USB  Notice  BatterieDAS de 0,76 W/kg. Le DAS (debit d'absorption specifique) des telephones mobiles quantifie le niveau d'exposition maximal de l'utilisateur aux ondes electromagnetiques, pour une utilisation a l'oreille. La reglementation francaise impose que le DAS ne depasse pas 2 W/kg.  Android 4.4.2 KitKat Processeur Qualcomm Snapdragon 200 avec Dualcore A7 1,2 GHz, telephone dual-SIM Ecran 4,3 pouces (10,9 cm) 540 x 960 qHD verre Corning et Gorilla Batterie longue duree 1980 mAh, livre sans chargeur secteur Capacite 4 Go, connecteur MicroSD acceptant des extensions de memoire jusqu'a 32 Go"
B00NEEXACE,Huawei Ascend Mate 7 Smartphone debloque 4G (Ecran: 6 pouces - 16 Go - Simple SIM - Android 4.4 KitKat) Argent,telephone,"NoneGrand ecran FullHD de 6 pouces, technologie IPS-NEO LTPS Borderless avec seulement 2,9 mm de largeur sur les cotes :  83% de la surface est occupee par l'ecran ! Processeur Octo-core Hisilicon Kirin 925 pour des performances toujours plus grandes Coque metallique extra fine de 7,9mm avec un capteur biometrique d'empreintes digitales au dos 4G LTE Cat6 ultra rapide (debit de telechargement jusqu'a 300 Mbit/s) Autonomie longue duree avec une batterie de 4100mAh et une gestion optimisee de l'energie Nouvelle Interface Huawei EMUI 3.0 Un seul support SIM (Micro SIM)"
B00MECVOZC,Samsung Galaxy S5 Mini Smartphone debloque 4G (Ecran: 4.5 pouces - 16 Go - Android Kitkat 4.4) Blanc,telephone,"<br><tr><td><table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""><tr><td><p style=""text-align: justify"">Grace a son genereux ecran HD Super Amoled de 4,5 pouces, il restitue des images au rendu tres vivant. Ceci dit, le Galaxy S5 mini - comme son nom l'indique - reste particulierement maniable et agreable a utiliser. Il permet de realiser des taches sans probleme en mouvement - meme d'une seule main.</p></td></tr><tr><td> </td></tr> <tr><td><p style=""text-align: justify"">Comme le Galaxy S5, la version mini arbore une surface structuree perforee tres raffinee au dos qui confere au smartphone modernite et elegance tout en assurant une prise en main agreable.</p></td></tr><tr><td> </td></tr> <tr><td><p style=""text-align: justify"">Les fonctionnalites appreciees sur le tres populaire Galaxy S5 ont ete selectionnees et integrees a la version compacte: ainsi, le Galaxy S5 mini integre la resistance a l'eau et a la poussiere (IP67), le mode Ultra Power Saving, le cardiofrequencemetre, le capteur d'empreintes digitales et la connectivite avec les tout derniers dispositifs Samsung ""wearable"".</p></td></tr><tr><td> </td></tr> <tr><td><p style=""text-align: justify"">Le smartphone compact est dote d'un processeur Quad Core 1,4 GHz puissant et de 1,5 Go de memoire vive - au service d'une utilisation multitachGarantie Fabricant: 2 an(s) Android 4.4 KitKat Ecran :4,5 pouces Capacite :16 GB Ecran 4,5 pouces"
B00PKBT3G6,Microsoft Lumia 535 Smartphone debloque 3G (Ecran: 5 pouces - 8 Go - Double SIM - Windows Phone 8.1) Bleu,telephone,Nokia LUMIA 535 DS CyanProcesseur : Qualcomm Systeme d'exploitation : Windows Phone Capacite : 8 Go Ecran : 5 pouces Double SIM
B00JR88RD8,Sony Xperia M2 Smartphone debloque 4G (Ecran: 4.8 pouces - 8 Go - Android 4.3 Jelly Bean) Noir,telephone,"Telephone portable - Sony Xperia M2 Noir - Smartphone 4G-LTE avec ecran tactile 4.8"" sous Android 4.3 - Fabricant : Sony - Code EAN : 7311271459354 - Reference Fabricant : 1280-8763Ecran 4,8 pouces 540 x 960 pixels Appareil photo 8MP Memoire : 8 Go, emplacement microSD jusqu'a 32 Go Processeur Qualcomm 1.2 GHz quad-core Systeme d'exploitation : Google Android 4.3 Jelly Bean Compatibilite reseau : 4G"
